Paso, Clase 1, Clase 2, Clase 3, Clase 4, Clase 5, Clase 6, Clase 7, Clase 8, Clase 9, Clase 10
254, 2655, 1234, 828, 310, 3, 65, 285, 808, 1101, 2711
255, 2652, 1196, 865, 314, 3, 55, 314, 812, 1094, 2695
256, 2649, 1196, 847, 336, 2, 57, 311, 782, 1181, 2639
257, 2658, 1174, 880, 314, 4, 66, 307, 777, 1153, 2667
258, 2677, 1191, 829, 329, 4, 66, 286, 811, 1108, 2699
259, 2668, 1211, 836, 309, 6, 71, 287, 773, 1143, 2696
260, 2630, 1224, 849, 324, 3, 73, 326, 758, 1120, 2693
261, 2636, 1193, 861, 339, 1, 76, 311, 794, 1111, 2678
262, 2645, 1228, 845, 310, 2, 72, 333, 746, 1077, 2742
263, 2629, 1225, 874, 295, 7, 78, 313, 769, 1097, 2713
264, 2651, 1207, 859, 311, 2, 78, 312, 759, 1100, 2721
265, 2641, 1212, 874, 302, 1, 75, 301, 787, 1093, 2714
266, 2633, 1263, 822, 311, 1, 75, 288, 794, 1092, 2721
267, 2651, 1222, 840, 310, 7, 73, 294, 817, 1052, 2734
268, 2635, 1209, 884, 295, 7, 78, 305, 789, 1085, 2713
269, 2600, 1232, 892, 304, 2, 77, 315, 803, 1077, 2698
270, 2605, 1222, 888, 314, 1, 71, 321, 838, 1021, 2719
271, 2602, 1256, 862, 308, 2, 77, 313, 803, 1059, 2718
272, 2611, 1249, 857, 311, 2, 80, 309, 794, 1069, 2718
273, 2593, 1279, 858, 297, 3, 76, 293, 802, 1111, 2688
274, 2606, 1248, 870, 304, 2, 85, 319, 770, 1071, 2725
275, 2621, 1213, 892, 297, 7, 78, 291, 847, 1037, 2717
276, 2623, 1222, 860, 320, 5, 75, 310, 797, 1098, 2690
277, 2591, 1247, 853, 335, 4, 79, 298, 834, 1096, 2663
278, 2601, 1215, 886, 325, 3, 69, 316, 820, 1110, 2655
279, 2599, 1221, 860, 349, 1, 70, 315, 851, 1065, 2669
280, 2613, 1185, 895, 333, 4, 65, 322, 813, 1138, 2632
281, 2586, 1184, 925, 332, 3, 67, 304, 851, 1160, 2588
282, 2613, 1181, 888, 347, 1, 71, 311, 809, 1167, 2612
283, 2606, 1197, 884, 343, 0, 78, 307, 801, 1159, 2625
284, 2613, 1189, 900, 325, 3, 76, 321, 818, 1073, 2682
285, 2614, 1254, 862, 296, 4, 77, 290, 804, 1096, 2703
286, 2624, 1229, 879, 295, 3, 65, 309, 789, 1119, 2688
287, 2622, 1223, 861, 317, 7, 76, 307, 812, 1075, 2700
288, 2612, 1225, 893, 297, 3, 72, 306, 810, 1088, 2694
289, 2654, 1181, 905, 289, 1, 75, 288, 828, 1042, 2737
290, 2637, 1238, 848, 304, 3, 72, 292, 795, 1104, 2707
